,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
283,11.0,12.0,18.0,18.0,11.0
284,11.0,10.0,7.0,14.0,12.0
285,9.0,13.0,11.0,16.0,14.0
286,12.0,13.0,5.0,13.0,11.0
287,15.0,14.0,11.0,16.0,10.0
288,10.0,12.0,11.0,13.0,10.0
289,9.0,12.0,8.0,11.0,13.0
290,9.0,15.0,13.0,15.0,5.0
291,9.0,13.0,16.0,11.0,7.0
292,9.0,17.0,21.0,11.0,6.0
293,5.0,24.0,15.0,17.0,10.0
294,6.0,25.0,26.0,8.0,14.0
295,7.0,24.0,21.0,12.0,5.0
296,6.0,28.0,22.0,11.0,12.0
297,6.0,32.0,24.0,21.0,6.0
298,2.0,25.0,28.0,18.0,8.0
299,3.0,18.0,21.0,17.0,7.0
300,3.0,18.0,11.0,8.0,12.0
301,5.0,10.0,13.0,9.0,2.0
302,9.0,8.0,13.0,12.0,6.0
303,8.0,13.0,13.0,10.0,7.0
304,7.0,10.0,8.0,10.0,8.0
305,8.0,10.0,7.0,12.0,7.0
306,9.0,10.0,12.0,9.0,14.0
307,9.0,11.0,9.0,10.0,5.0
308,7.0,14.0,13.0,15.0,11.0
309,5.0,12.0,7.0,11.0,4.0
310,4.0,10.0,6.0,9.0,12.0
311,5.0,8.0,6.0,11.0,9.0
312,4.0,13.0,7.0,8.0,8.0
313,3.0,11.0,8.0,7.0,1.0
314,2.0,7.0,11.0,6.0,9.0
315,1.0,4.0,7.0,6.0,4.0
316,1.0,5.0,3.0,2.0,1.0
317,1.0,6.0,7.0,2.0,3.0
318,1.0,3.0,9.0,2.0,8.0
319,1.0,1.0,7.0,2.0,11.0
320,2.0,2.0,5.0,7.0,3.0
321,2.0,4.0,7.0,2.0,6.0
322,1.0,5.0,7.0,5.0,5.0
323,1.0,6.0,10.0,3.0,3.0
324,1.0,8.0,10.0,5.0,7.0
325,4.0,7.0,9.0,6.0,8.0
326,4.0,8.0,11.0,1.0,6.0
327,3.0,9.0,6.0,1.0,3.0
328,1.0,11.0,4.0,2.0,6.0
329,3.0,12.0,6.0,5.0,12.0
330,3.0,13.0,3.0,12.0,7.0
331,4.0,7.0,11.0,4.0,2.0
332,5.0,5.0,8.0,5.0,6.0
333,4.0,7.0,5.0,8.0,14.0
334,5.0,6.0,11.0,5.0,5.0
335,5.0,6.0,7.0,6.0,9.0
336,5.0,6.0,9.0,9.0,4.0
